l,one,two
1,data_speech_commands_v0.02/yes/de3fe344_yes_0.wav,data_speech_commands_v0.02/five/de3fe344_five_0.wav
1,data_speech_commands_v0.02/yes/de3fe344_yes_0.wav,data_speech_commands_v0.02/on/de3fe344_on_3.wav
0,data_speech_commands_v0.02/yes/de3fe344_yes_0.wav,data_speech_commands_v0.02/backward/ec989d6d_backward_0.wav
0,data_speech_commands_v0.02/yes/de3fe344_yes_0.wav,data_speech_commands_v0.02/stop/ab9b93e4_stop_1.wav
1,data_speech_commands_v0.02/yes/3f45a0cf_yes_0.wav,data_speech_commands_v0.02/visual/3f45a0cf_visual_2.wav
1,data_speech_commands_v0.02/yes/3f45a0cf_yes_0.wav,data_speech_commands_v0.02/go/3f45a0cf_go_0.wav
0,data_speech_commands_v0.02/yes/3f45a0cf_yes_0.wav,data_speech_commands_v0.02/three/9f93e408_three_1.wav
0,data_speech_commands_v0.02/yes/3f45a0cf_yes_0.wav,data_speech_commands_v0.02/zero/3b7f817e_zero_0.wav
1,data_speech_commands_v0.02/yes/56eb74ae_yes_0.wav,data_speech_commands_v0.02/down/56eb74ae_down_0.wav
1,data_speech_commands_v0.02/yes/56eb74ae_yes_0.wav,data_speech_commands_v0.02/left/56eb74ae_left_3.wav
0,data_speech_commands_v0.02/yes/56eb74ae_yes_0.wav,data_speech_commands_v0.02/learn/f2e9b610_learn_3.wav
0,data_speech_commands_v0.02/yes/56eb74ae_yes_0.wav,data_speech_commands_v0.02/eight/51f7a034_eight_2.wav
1,data_speech_commands_v0.02/yes/d0faf7e4_yes_0.wav,data_speech_commands_v0.02/yes/d0faf7e4_yes_0.wav
1,data_speech_commands_v0.02/yes/d0faf7e4_yes_0.wav,data_speech_commands_v0.02/one/d0faf7e4_one_3.wav
0,data_speech_commands_v0.02/yes/d0faf7e4_yes_0.wav,data_speech_commands_v0.02/four/ee1d8d49_four_0.wav
0,data_speech_commands_v0.02/yes/d0faf7e4_yes_0.wav,data_speech_commands_v0.02/one/a2473d62_one_0.wav
1,data_speech_commands_v0.02/yes/0d82fd99_yes_0.wav,data_speech_commands_v0.02/two/0d82fd99_two_2.wav
1,data_speech_commands_v0.02/yes/0d82fd99_yes_0.wav,data_speech_commands_v0.02/stop/0d82fd99_stop_1.wav
0,data_speech_commands_v0.02/yes/0d82fd99_yes_0.wav,data_speech_commands_v0.02/no/c5a1e46c_no_1.wav
1,data_speech_commands_v0.02/yes/0d82fd99_yes_0.wav,data_speech_commands_v0.02/nine/0d82fd99_nine_3.wav
1,data_speech_commands_v0.02/yes/bcf614a2_yes_0.wav,data_speech_commands_v0.02/down/bcf614a2_down_1.wav
1,data_speech_commands_v0.02/yes/bcf614a2_yes_0.wav,data_speech_commands_v0.02/five/bcf614a2_five_2.wav
0,data_speech_commands_v0.02/yes/bcf614a2_yes_0.wav,data_speech_commands_v0.02/learn/64df20d8_learn_0.wav
0,data_speech_commands_v0.02/yes/bcf614a2_yes_0.wav,data_speech_commands_v0.02/four/56eb74ae_four_2.wav
1,data_speech_commands_v0.02/yes/471a0925_yes_0.wav,data_speech_commands_v0.02/yes/471a0925_yes_3.wav
1,data_speech_commands_v0.02/yes/471a0925_yes_0.wav,data_speech_commands_v0.02/six/471a0925_six_1.wav
0,data_speech_commands_v0.02/yes/471a0925_yes_0.wav,data_speech_commands_v0.02/eight/e4be0cf6_eight_2.wav
0,data_speech_commands_v0.02/yes/471a0925_yes_0.wav,data_speech_commands_v0.02/up/f2e59fea_up_2.wav
1,data_speech_commands_v0.02/yes/a7200079_yes_0.wav,data_speech_commands_v0.02/go/a7200079_go_3.wav
1,data_speech_commands_v0.02/yes/a7200079_yes_0.wav,data_speech_commands_v0.02/off/a7200079_off_0.wav
0,data_speech_commands_v0.02/yes/a7200079_yes_0.wav,data_speech_commands_v0.02/four/821b64cc_four_0.wav
0,data_speech_commands_v0.02/yes/a7200079_yes_0.wav,data_speech_commands_v0.02/seven/645ed69d_seven_1.wav
1,data_speech_commands_v0.02/yes/773e26f7_yes_0.wav,data_speech_commands_v0.02/right/773e26f7_right_3.wav
1,data_speech_commands_v0.02/yes/773e26f7_yes_0.wav,data_speech_commands_v0.02/follow/773e26f7_follow_0.wav
0,data_speech_commands_v0.02/yes/773e26f7_yes_0.wav,data_speech_commands_v0.02/one/e882abb2_one_0.wav
0,data_speech_commands_v0.02/yes/773e26f7_yes_0.wav,data_speech_commands_v0.02/one/aff582a1_one_0.wav
1,data_speech_commands_v0.02/yes/cce7416f_yes_0.wav,data_speech_commands_v0.02/two/cce7416f_two_3.wav
1,data_speech_commands_v0.02/yes/cce7416f_yes_0.wav,data_speech_commands_v0.02/yes/cce7416f_yes_0.wav
0,data_speech_commands_v0.02/yes/cce7416f_yes_0.wav,data_speech_commands_v0.02/go/c351e611_go_1.wav
0,data_speech_commands_v0.02/yes/cce7416f_yes_0.wav,data_speech_commands_v0.02/visual/d264f7b6_visual_2.wav
1,data_speech_commands_v0.02/yes/beb458a4_yes_0.wav,data_speech_commands_v0.02/two/beb458a4_two_2.wav
1,data_speech_commands_v0.02/yes/beb458a4_yes_0.wav,data_speech_commands_v0.02/backward/beb458a4_backward_1.wav
0,data_speech_commands_v0.02/yes/beb458a4_yes_0.wav,data_speech_commands_v0.02/go/28ed6bc9_go_3.wav
0,data_speech_commands_v0.02/yes/beb458a4_yes_0.wav,data_speech_commands_v0.02/right/63f7a489_right_1.wav
1,data_speech_commands_v0.02/yes/a7216980_yes_0.wav,data_speech_commands_v0.02/down/a7216980_down_0.wav
1,data_speech_commands_v0.02/yes/a7216980_yes_0.wav,data_speech_commands_v0.02/off/a7216980_off_1.wav
0,data_speech_commands_v0.02/yes/a7216980_yes_0.wav,data_speech_commands_v0.02/nine/c4e00ee9_nine_0.wav
0,data_speech_commands_v0.02/yes/a7216980_yes_0.wav,data_speech_commands_v0.02/six/7213ed54_six_0.wav
1,data_speech_commands_v0.02/yes/f2e59fea_yes_0.wav,data_speech_commands_v0.02/stop/f2e59fea_stop_0.wav
1,data_speech_commands_v0.02/yes/f2e59fea_yes_0.wav,data_speech_commands_v0.02/nine/f2e59fea_nine_1.wav
0,data_speech_commands_v0.02/yes/f2e59fea_yes_0.wav,data_speech_commands_v0.02/go/ffd2ba2f_go_1.wav
0,data_speech_commands_v0.02/yes/f2e59fea_yes_0.wav,data_speech_commands_v0.02/left/94de6a6a_left_1.wav
1,data_speech_commands_v0.02/yes/f5626af6_yes_0.wav,data_speech_commands_v0.02/yes/f5626af6_yes_2.wav
1,data_speech_commands_v0.02/yes/f5626af6_yes_0.wav,data_speech_commands_v0.02/left/f5626af6_left_0.wav
0,data_speech_commands_v0.02/yes/f5626af6_yes_0.wav,data_speech_commands_v0.02/on/46a153d8_on_1.wav
0,data_speech_commands_v0.02/yes/f5626af6_yes_0.wav,data_speech_commands_v0.02/on/017c4098_on_2.wav
1,data_speech_commands_v0.02/two/d070ea86_two_0.wav,data_speech_commands_v0.02/go/d070ea86_go_3.wav
1,data_speech_commands_v0.02/two/d070ea86_two_0.wav,data_speech_commands_v0.02/learn/d070ea86_learn_2.wav
0,data_speech_commands_v0.02/two/d070ea86_two_0.wav,data_speech_commands_v0.02/learn/b29f8b23_learn_0.wav
0,data_speech_commands_v0.02/two/d070ea86_two_0.wav,data_speech_commands_v0.02/four/40738a2d_four_3.wav
1,data_speech_commands_v0.02/two/d4082f3e_two_0.wav,data_speech_commands_v0.02/two/d4082f3e_two_0.wav
1,data_speech_commands_v0.02/two/d4082f3e_two_0.wav,data_speech_commands_v0.02/two/d4082f3e_two_1.wav
0,data_speech_commands_v0.02/two/d4082f3e_two_0.wav,data_speech_commands_v0.02/four/195c120a_four_1.wav
0,data_speech_commands_v0.02/two/d4082f3e_two_0.wav,data_speech_commands_v0.02/backward/7d6b4b10_backward_0.wav
1,data_speech_commands_v0.02/two/0ba018fc_two_0.wav,data_speech_commands_v0.02/forward/0ba018fc_forward_3.wav
1,data_speech_commands_v0.02/two/0ba018fc_two_0.wav,data_speech_commands_v0.02/backward/0ba018fc_backward_0.wav
0,data_speech_commands_v0.02/two/0ba018fc_two_0.wav,data_speech_commands_v0.02/on/38d78313_on_2.wav
0,data_speech_commands_v0.02/two/0ba018fc_two_0.wav,data_speech_commands_v0.02/up/b5552931_up_3.wav
1,data_speech_commands_v0.02/two/189cbabe_two_0.wav,data_speech_commands_v0.02/down/189cbabe_down_1.wav
1,data_speech_commands_v0.02/two/189cbabe_two_0.wav,data_speech_commands_v0.02/forward/189cbabe_forward_3.wav
0,data_speech_commands_v0.02/two/189cbabe_two_0.wav,data_speech_commands_v0.02/five/da040491_five_2.wav
0,data_speech_commands_v0.02/two/189cbabe_two_0.wav,data_speech_commands_v0.02/seven/779de043_seven_3.wav
1,data_speech_commands_v0.02/two/18e910f4_two_0.wav,data_speech_commands_v0.02/on/18e910f4_on_3.wav
1,data_speech_commands_v0.02/two/18e910f4_two_0.wav,data_speech_commands_v0.02/on/18e910f4_on_2.wav
0,data_speech_commands_v0.02/two/18e910f4_two_0.wav,data_speech_commands_v0.02/one/32ad5b65_one_0.wav
0,data_speech_commands_v0.02/two/18e910f4_two_0.wav,data_speech_commands_v0.02/six/cfbedff9_six_0.wav
1,data_speech_commands_v0.02/two/726382d6_two_0.wav,data_speech_commands_v0.02/two/726382d6_two_3.wav
1,data_speech_commands_v0.02/two/726382d6_two_0.wav,data_speech_commands_v0.02/two/726382d6_two_2.wav
0,data_speech_commands_v0.02/two/726382d6_two_0.wav,data_speech_commands_v0.02/forward/513aeddf_forward_3.wav
0,data_speech_commands_v0.02/two/726382d6_two_0.wav,data_speech_commands_v0.02/learn/879a2b38_learn_0.wav
1,data_speech_commands_v0.02/two/03cf93b1_two_0.wav,data_speech_commands_v0.02/two/03cf93b1_two_0.wav
1,data_speech_commands_v0.02/two/03cf93b1_two_0.wav,data_speech_commands_v0.02/two/03cf93b1_two_2.wav
0,data_speech_commands_v0.02/two/03cf93b1_two_0.wav,data_speech_commands_v0.02/zero/b29f8b23_zero_2.wav
0,data_speech_commands_v0.02/two/03cf93b1_two_0.wav,data_speech_commands_v0.02/five/6c429c7b_five_2.wav
1,data_speech_commands_v0.02/two/1e02ffc5_two_0.wav,data_speech_commands_v0.02/backward/1e02ffc5_backward_0.wav
1,data_speech_commands_v0.02/two/1e02ffc5_two_0.wav,data_speech_commands_v0.02/visual/1e02ffc5_visual_3.wav
0,data_speech_commands_v0.02/two/1e02ffc5_two_0.wav,data_speech_commands_v0.02/on/cce7416f_on_2.wav
0,data_speech_commands_v0.02/two/1e02ffc5_two_0.wav,data_speech_commands_v0.02/eight/a7acbbeb_eight_0.wav
1,data_speech_commands_v0.02/two/821b64cc_two_0.wav,data_speech_commands_v0.02/eight/821b64cc_eight_3.wav
1,data_speech_commands_v0.02/two/821b64cc_two_0.wav,data_speech_commands_v0.02/seven/821b64cc_seven_1.wav
0,data_speech_commands_v0.02/two/821b64cc_two_0.wav,data_speech_commands_v0.02/zero/6565a81d_zero_3.wav
0,data_speech_commands_v0.02/two/821b64cc_two_0.wav,data_speech_commands_v0.02/visual/0cb74144_visual_2.wav
1,data_speech_commands_v0.02/two/5f5eef60_two_0.wav,data_speech_commands_v0.02/four/5f5eef60_four_1.wav
1,data_speech_commands_v0.02/two/5f5eef60_two_0.wav,data_speech_commands_v0.02/left/5f5eef60_left_2.wav
0,data_speech_commands_v0.02/two/5f5eef60_two_0.wav,data_speech_commands_v0.02/two/15b0c947_two_1.wav
0,data_speech_commands_v0.02/two/5f5eef60_two_0.wav,data_speech_commands_v0.02/house/b0c0197e_nohash_1.wav
1,data_speech_commands_v0.02/two/28612180_two_0.wav,data_speech_commands_v0.02/two/28612180_two_2.wav
1,data_speech_commands_v0.02/two/28612180_two_0.wav,data_speech_commands_v0.02/two/28612180_two_3.wav
0,data_speech_commands_v0.02/two/28612180_two_0.wav,data_speech_commands_v0.02/zero/7c1d8533_zero_1.wav
0,data_speech_commands_v0.02/two/28612180_two_0.wav,data_speech_commands_v0.02/no/471a0925_no_0.wav
1,data_speech_commands_v0.02/two/8eb4a1bf_two_0.wav,data_speech_commands_v0.02/stop/8eb4a1bf_stop_1.wav
1,data_speech_commands_v0.02/two/8eb4a1bf_two_0.wav,data_speech_commands_v0.02/six/8eb4a1bf_six_2.wav
0,data_speech_commands_v0.02/two/8eb4a1bf_two_0.wav,data_speech_commands_v0.02/nine/b69002d4_nine_3.wav
0,data_speech_commands_v0.02/two/8eb4a1bf_two_0.wav,data_speech_commands_v0.02/right/b91b718c_right_3.wav
1,data_speech_commands_v0.02/two/fbb56351_two_0.wav,data_speech_commands_v0.02/down/fbb56351_down_3.wav
1,data_speech_commands_v0.02/two/fbb56351_two_0.wav,data_speech_commands_v0.02/learn/fbb56351_learn_1.wav
0,data_speech_commands_v0.02/two/fbb56351_two_0.wav,data_speech_commands_v0.02/left/bcf614a2_left_0.wav
0,data_speech_commands_v0.02/two/fbb56351_two_0.wav,data_speech_commands_v0.02/seven/a7acbbeb_seven_3.wav
1,data_speech_commands_v0.02/two/35d1b6ee_two_0.wav,data_speech_commands_v0.02/two/35d1b6ee_two_2.wav
1,data_speech_commands_v0.02/two/35d1b6ee_two_0.wav,data_speech_commands_v0.02/four/35d1b6ee_four_3.wav
0,data_speech_commands_v0.02/two/35d1b6ee_two_0.wav,data_speech_commands_v0.02/two/821b64cc_two_2.wav
0,data_speech_commands_v0.02/two/35d1b6ee_two_0.wav,data_speech_commands_v0.02/yes/c1d39ce8_yes_1.wav
1,data_speech_commands_v0.02/nine/ad63d93c_nine_0.wav,data_speech_commands_v0.02/six/ad63d93c_six_1.wav
1,data_speech_commands_v0.02/nine/ad63d93c_nine_0.wav,data_speech_commands_v0.02/no/ad63d93c_no_2.wav
0,data_speech_commands_v0.02/nine/ad63d93c_nine_0.wav,data_speech_commands_v0.02/five/333d7ddb_five_3.wav
0,data_speech_commands_v0.02/nine/ad63d93c_nine_0.wav,data_speech_commands_v0.02/go/b76f6088_go_3.wav
1,data_speech_commands_v0.02/nine/d264f7b6_nine_0.wav,data_speech_commands_v0.02/three/d264f7b6_three_1.wav
1,data_speech_commands_v0.02/nine/d264f7b6_nine_0.wav,data_speech_commands_v0.02/five/d264f7b6_five_3.wav
0,data_speech_commands_v0.02/nine/d264f7b6_nine_0.wav,data_speech_commands_v0.02/bird/c50f55b8_bird_0.wav
0,data_speech_commands_v0.02/nine/d264f7b6_nine_0.wav,data_speech_commands_v0.02/zero/f0522ff4_zero_1.wav
1,data_speech_commands_v0.02/nine/b4ea0d9a_nine_0.wav,data_speech_commands_v0.02/up/b4ea0d9a_up_0.wav
1,data_speech_commands_v0.02/nine/b4ea0d9a_nine_0.wav,data_speech_commands_v0.02/zero/b4ea0d9a_zero_3.wav
0,data_speech_commands_v0.02/nine/b4ea0d9a_nine_0.wav,data_speech_commands_v0.02/visual/2927c601_visual_0.wav
0,data_speech_commands_v0.02/nine/b4ea0d9a_nine_0.wav,data_speech_commands_v0.02/six/8e523821_six_2.wav
1,data_speech_commands_v0.02/nine/67bdbf56_nine_0.wav,data_speech_commands_v0.02/go/67bdbf56_go_1.wav
1,data_speech_commands_v0.02/nine/67bdbf56_nine_0.wav,data_speech_commands_v0.02/zero/67bdbf56_zero_3.wav
0,data_speech_commands_v0.02/nine/67bdbf56_nine_0.wav,data_speech_commands_v0.02/cat/7e556a2c_cat_1.wav
0,data_speech_commands_v0.02/nine/67bdbf56_nine_0.wav,data_speech_commands_v0.02/learn/7213ed54_learn_3.wav
1,data_speech_commands_v0.02/nine/23da904f_nine_0.wav,data_speech_commands_v0.02/zero/23da904f_zero_0.wav
1,data_speech_commands_v0.02/nine/23da904f_nine_0.wav,data_speech_commands_v0.02/follow/23da904f_follow_3.wav
0,data_speech_commands_v0.02/nine/23da904f_nine_0.wav,data_speech_commands_v0.02/yes/3d794813_yes_2.wav
0,data_speech_commands_v0.02/nine/23da904f_nine_0.wav,data_speech_commands_v0.02/yes/71d0ded4_yes_3.wav
1,data_speech_commands_v0.02/nine/c50f55b8_nine_0.wav,data_speech_commands_v0.02/go/c50f55b8_go_1.wav
1,data_speech_commands_v0.02/nine/c50f55b8_nine_0.wav,data_speech_commands_v0.02/right/c50f55b8_right_2.wav
0,data_speech_commands_v0.02/nine/c50f55b8_nine_0.wav,data_speech_commands_v0.02/nine/2151b09a_nine_3.wav
0,data_speech_commands_v0.02/nine/c50f55b8_nine_0.wav,data_speech_commands_v0.02/right/4cee0c60_right_1.wav
1,data_speech_commands_v0.02/nine/3589bc72_nine_0.wav,data_speech_commands_v0.02/no/3589bc72_no_2.wav
1,data_speech_commands_v0.02/nine/3589bc72_nine_0.wav,data_speech_commands_v0.02/yes/3589bc72_yes_2.wav
0,data_speech_commands_v0.02/nine/3589bc72_nine_0.wav,data_speech_commands_v0.02/on/1a994c9f_on_1.wav
0,data_speech_commands_v0.02/nine/3589bc72_nine_0.wav,data_speech_commands_v0.02/yes/879a2b38_yes_0.wav
1,data_speech_commands_v0.02/nine/3bfd30e6_nine_0.wav,data_speech_commands_v0.02/seven/3bfd30e6_seven_2.wav
1,data_speech_commands_v0.02/nine/3bfd30e6_nine_0.wav,data_speech_commands_v0.02/off/3bfd30e6_off_1.wav
0,data_speech_commands_v0.02/nine/3bfd30e6_nine_0.wav,data_speech_commands_v0.02/two/264f471d_two_0.wav
0,data_speech_commands_v0.02/nine/3bfd30e6_nine_0.wav,data_speech_commands_v0.02/on/4c6167ca_on_3.wav
1,data_speech_commands_v0.02/nine/a1e71565_nine_0.wav,data_speech_commands_v0.02/on/a1e71565_on_3.wav
1,data_speech_commands_v0.02/nine/a1e71565_nine_0.wav,data_speech_commands_v0.02/seven/a1e71565_seven_1.wav
0,data_speech_commands_v0.02/nine/a1e71565_nine_0.wav,data_speech_commands_v0.02/six/5c8af87a_six_1.wav
0,data_speech_commands_v0.02/nine/a1e71565_nine_0.wav,data_speech_commands_v0.02/learn/3cc595de_learn_0.wav
1,data_speech_commands_v0.02/nine/4fd1443e_nine_0.wav,data_speech_commands_v0.02/off/4fd1443e_off_2.wav
1,data_speech_commands_v0.02/nine/4fd1443e_nine_0.wav,data_speech_commands_v0.02/learn/4fd1443e_learn_1.wav
0,data_speech_commands_v0.02/nine/4fd1443e_nine_0.wav,data_speech_commands_v0.02/eight/0ea9c8ce_eight_2.wav
0,data_speech_commands_v0.02/nine/4fd1443e_nine_0.wav,data_speech_commands_v0.02/right/4a1e736b_right_3.wav
1,data_speech_commands_v0.02/nine/879a2b38_nine_0.wav,data_speech_commands_v0.02/five/879a2b38_five_3.wav
1,data_speech_commands_v0.02/nine/879a2b38_nine_0.wav,data_speech_commands_v0.02/left/879a2b38_left_3.wav
0,data_speech_commands_v0.02/nine/879a2b38_nine_0.wav,data_speech_commands_v0.02/left/bab36420_left_0.wav
0,data_speech_commands_v0.02/nine/879a2b38_nine_0.wav,data_speech_commands_v0.02/visual/195c120a_visual_1.wav
1,data_speech_commands_v0.02/nine/bcf614a2_nine_0.wav,data_speech_commands_v0.02/follow/bcf614a2_follow_3.wav
1,data_speech_commands_v0.02/nine/bcf614a2_nine_0.wav,data_speech_commands_v0.02/two/bcf614a2_two_0.wav
0,data_speech_commands_v0.02/nine/bcf614a2_nine_0.wav,data_speech_commands_v0.02/six/bfaf2000_six_1.wav
0,data_speech_commands_v0.02/nine/bcf614a2_nine_0.wav,data_speech_commands_v0.02/on/94de6a6a_on_0.wav
1,data_speech_commands_v0.02/nine/f568162b_nine_0.wav,data_speech_commands_v0.02/nine/f568162b_nine_0.wav
1,data_speech_commands_v0.02/nine/f568162b_nine_0.wav,data_speech_commands_v0.02/follow/f568162b_follow_1.wav
0,data_speech_commands_v0.02/nine/f568162b_nine_0.wav,data_speech_commands_v0.02/follow/ca4d5368_follow_3.wav
0,data_speech_commands_v0.02/nine/f568162b_nine_0.wav,data_speech_commands_v0.02/off/1c76f5f3_off_3.wav
1,data_speech_commands_v0.02/nine/e6327279_nine_0.wav,data_speech_commands_v0.02/no/e6327279_no_2.wav
1,data_speech_commands_v0.02/nine/e6327279_nine_0.wav,data_speech_commands_v0.02/off/e6327279_off_0.wav
0,data_speech_commands_v0.02/nine/e6327279_nine_0.wav,data_speech_commands_v0.02/two/321aba74_two_3.wav
0,data_speech_commands_v0.02/nine/e6327279_nine_0.wav,data_speech_commands_v0.02/three/9f93e408_three_2.wav
1,data_speech_commands_v0.02/bird/dbb7723a_bird_0.wav,data_speech_commands_v0.02/bird/dbb7723a_bird_0.wav
1,data_speech_commands_v0.02/bird/dbb7723a_bird_0.wav,data_speech_commands_v0.02/bird/dbb7723a_bird_1.wav
0,data_speech_commands_v0.02/bird/dbb7723a_bird_0.wav,data_speech_commands_v0.02/yes/1e02ffc5_yes_2.wav
0,data_speech_commands_v0.02/bird/dbb7723a_bird_0.wav,data_speech_commands_v0.02/right/9ff2d2f4_right_3.wav
1,data_speech_commands_v0.02/bird/41474817_bird_0.wav,data_speech_commands_v0.02/bird/41474817_bird_0.wav
